PN,this is a test  
CD,0001
MP,2
LB,0163
TC,0164
VA, 1,0005
VR, 1,0006
VA, 2,0007
VR, 2,0008
VA, 3,0009
VR, 3,0010
VA, 4,0011
VR, 4,0012
VA, 5,0013
VR, 5,0014
VA, 6,0015
VR, 6,0016
VA, 7,0017
VR, 7,0018
VA, 8,0019
VR, 8,0020
VA, 9,0021
VR, 9,0022
VA,10,0023
VR,10,0024
VA,11,0025
VR,11,0026
VA,12,0027
VR,12,0028
VA,13,0029
VR,13,0030
VA,14,0031
VR,14,0032
VA,15,0033
VR,15,0034
VA,16,0035
VR,16,0036
VA,17,0037
VR,17,0038
VA,18,0039
VR,18,0040
VA,19,0041
VR,19,0042
VA,20,0043
VR,20,0044
VA,21,0045
VR,21,0046
VA,22,0047
VR,22,0048
VA,23,0049
VR,23,0050
VA,24,0051
VR,24,0052
VA,25,0053
VR,25,0054
VA,26,0055
VR,26,0056
VA,27,0057
VR,27,0058
VA,28,0059
VR,28,0060
VA,29,0061
VR,29,0062
VA,30,0063
VR,30,0064
VA,31,0065
VR,31,0066
VA,32,0067
VR,32,0068
VA,33,0069
VR,33,0070
VA,34,0071
VR,34,0072
VA,35,0073
VR,35,0074
VA,36,0075
VR,36,0076
VA,37,0077
VR,37,0078
VA,38,0079
VR,38,0080
VA,39,0081
VR,39,0082
VA,40,0083
VR,40,0084
VA,41,0085
VR,41,0086
VA,42,0087
VR,42,0088
VA,43,0089
VR,43,0090
VA,44,0091
VR,44,0092
VA,45,0093
VR,45,0094
VA,46,0095
VR,46,0096
VA,47,0097
VR,47,0098
VA,48,0099
VR,48,0100
VA,49,0101
VR,49,0102
VA,50,0103
VR,50,0104
VA,51,0105
VR,51,0106
VA,52,0107
VR,52,0108
VA,53,0109
VR,53,0110
VA,54,0111
VR,54,0112
VA,55,0113
VR,55,0114
VA,56,0115
VR,56,0116
VA,57,0117
VR,57,0118
VA,58,0119
VR,58,0120
VA,59,0121
VR,59,0122
VA,60,0123
VR,60,0124
VA,61,0125
VR,61,0126
VA,62,0127
VR,62,0128
VA,63,0129
VR,63,0130
VA,64,0131
VR,64,0132
VA,65,0133
VR,65,0134
VA,66,0135
VR,66,0136
VA,67,0137
VR,67,0138
VA,68,0139
VR,68,0140
VA,69,0141
VR,69,0142
VA,70,0143
VR,70,0144
VA,71,0145
VR,71,0146
VA,72,0147
VR,72,0148
VA,73,0149
VR,73,0150
VA,74,0151
VR,74,0152
VA,75,0153
VR,75,0154
VA,76,0155
VR,76,0156
VA,77,0157
VR,77,0158
VA,78,0159
VR,78,0160
VA,79,0161
VR,79,0162
VA,80,0163
VR,80,0164
