PN,a test          
CD,16383
MP,1
LB,0019
TC,0020
VA, 1,0001
VR, 1,0002
VA, 2,0003
VR, 2,0004
VA, 3,0005
VR, 3,0006
VA, 4,0007
VR, 4,0008
VA, 5,0009
VR, 5,0010
VA, 6,0011
VR, 6,0012
VA, 7,0013
VR, 7,0014
VA, 8,0015
VR, 8,0016
VA, 9,0017
VR, 9,0018
VA,10,0019
VR,10,0020
VA,11,0000
VR,11,0000
VA,12,0000
VR,12,0000
VA,13,0000
VR,13,0000
VA,14,0000
VR,14,0000
VA,15,0000
VR,15,0000
VA,16,0000
VR,16,0000
VA,17,0000
VR,17,0000
VA,18,0000
VR,18,0000
VA,19,0000
VR,19,0000
VA,20,0000
VR,20,0000
VA,21,0000
VR,21,0000
VA,22,0000
VR,22,0000
VA,23,0000
VR,23,0000
VA,24,0000
VR,24,0000
VA,25,0000
VR,25,0000
VA,26,0000
VR,26,0000
VA,27,0000
VR,27,0000
VA,28,0000
VR,28,0000
VA,29,0000
VR,29,0000
VA,30,0000
VR,30,0000
VA,31,0000
VR,31,0000
VA,32,0000
VR,32,0000
VA,33,0000
VR,33,0000
VA,34,0000
VR,34,0000
VA,35,0000
VR,35,0000
VA,36,0000
VR,36,0000
VA,37,0000
VR,37,0000
VA,38,0000
VR,38,0000
VA,39,0000
VR,39,0000
VA,40,0000
VR,40,0000
VA,41,0000
VR,41,0000
VA,42,0000
VR,42,0000
VA,43,0000
VR,43,0000
VA,44,0000
VR,44,0000
VA,45,0000
VR,45,0000
VA,46,0000
VR,46,0000
VA,47,0000
VR,47,0000
VA,48,0000
VR,48,0000
VA,49,0000
VR,49,0000
VA,50,0000
VR,50,0000
VA,51,0000
VR,51,0000
VA,52,0000
VR,52,0000
VA,53,0000
VR,53,0000
VA,54,0000
VR,54,0000
VA,55,0000
VR,55,0000
VA,56,0000
VR,56,0000
VA,57,0000
VR,57,0000
VA,58,0000
VR,58,0000
VA,59,0000
VR,59,0000
VA,60,0000
VR,60,0000
VA,61,0000
VR,61,0000
VA,62,0000
VR,62,0000
VA,63,0000
VR,63,0000
VA,64,0000
VR,64,0000
VA,65,0000
VR,65,0000
VA,66,0000
VR,66,0000
VA,67,0000
VR,67,0000
VA,68,0000
VR,68,0000
VA,69,0000
VR,69,0000
VA,70,0000
VR,70,0000
VA,71,0000
VR,71,0000
VA,72,0000
VR,72,0000
VA,73,0000
VR,73,0000
VA,74,0000
VR,74,0000
VA,75,0000
VR,75,0000
VA,76,0000
VR,76,0000
VA,77,0000
VR,77,0000
VA,78,0000
VR,78,0000
VA,79,0000
VR,79,0000
VA,80,0000
VR,80,0000
